order_id,order_date,customer_id,order_value,payment_type,warehouse,order_status,pick_time,pack_time,ship_time,delivery_time,carrier,ticket_id,issue_type,created_time,resolved_time,status,pick_delay_hrs,pack_delay_hrs,ship_delay_hrs,delivery_days,support_resolution_hrs,sla_breached,optimized_resolution
ORD1,2024-06-17,1860,225.27,Credit Card,Hyderabad,Delivered,2024-06-17 04:00:00,2024-06-17 06:00:00,2024-06-17 12:00:00,2024-06-20 12:00:00,Ecom Express,,,,,,4.0,2.0,6.0,3,,False,
ORD2,2024-03-23,4772,233.42,Credit Card,Bangalore,Delivered,2024-03-23 06:00:00,2024-03-23 10:00:00,2024-03-23 19:00:00,2024-03-25 19:00:00,Ecom Express,,,,,,6.0,4.0,9.0,2,,False,
ORD3,2024-04-08,4092,154.89,UPI,Hyderabad,Delayed,2024-04-08 01:00:00,2024-04-08 02:00:00,2024-04-08 09:00:00,2024-04-12 09:00:00,Delhivery,TKT2947,Late Delivery,2024-06-01,2024-06-02 05:00:00,Closed,1.0,1.0,7.0,4,29.0,True,20.299999999999997
ORD4,2024-04-05,1466,98.51,COD,Mumbai,Delivered,2024-04-05 02:00:00,2024-04-05 03:00:00,2024-04-05 07:00:00,2024-04-07 07:00:00,BlueDart,,,,,,2.0,1.0,4.0,2,,False,
ORD5,2024-02-04,5426,292.39,COD,Hyderabad,Delivered,2024-02-04 03:00:00,2024-02-04 04:00:00,2024-02-04 07:00:00,2024-02-06 07:00:00,Delhivery,TKT1555,Wrong Item,2024-05-14,2024-05-15 22:00:00,Closed,3.0,1.0,3.0,2,46.0,False,46.0
ORD6,2024-02-02,4444,202.38,Credit Card,Mumbai,Delayed,2024-02-02 06:00:00,2024-02-02 10:00:00,2024-02-02 12:00:00,2024-02-07 12:00:00,Ecom Express,,,,,,6.0,4.0,2.0,5,,True,
ORD7,2024-06-23,4171,128.39,Credit Card,Mumbai,Delivered,2024-06-23 06:00:00,2024-06-23 08:00:00,2024-06-23 16:00:00,2024-06-26 16:00:00,Delhivery,TKT2598,Late Delivery,2024-05-06,2024-05-07 03:00:00,Closed,6.0,2.0,8.0,3,27.0,False,18.9
ORD8,2024-01-19,3919,91.33,UPI,Delhi,Delivered,2024-01-19 05:00:00,2024-01-19 09:00:00,2024-01-19 16:00:00,2024-01-22 16:00:00,Delhivery,,,,,,5.0,4.0,7.0,3,,False,
ORD9,2024-03-22,1130,222.02,Credit Card,Bangalore,Delivered,2024-03-22 03:00:00,2024-03-22 05:00:00,2024-03-22 08:00:00,2024-03-23 08:00:00,BlueDart,,,,,,3.0,2.0,3.0,1,,False,
ORD10,2024-02-21,2685,80.23,UPI,Hyderabad,Delayed,2024-02-21 02:00:00,2024-02-21 04:00:00,2024-02-21 13:00:00,2024-02-28 13:00:00,BlueDart,,,,,,2.0,2.0,9.0,7,,True,
