order_id,order_date,customer_id,order_value,payment_type,warehouse,order_status
ORD1,2024-06-17,1860,225.27,Credit Card,Hyderabad,Delivered
ORD2,2024-03-23,4772,233.42,Credit Card,Bangalore,Delivered
ORD3,2024-04-08,4092,154.89,UPI,Hyderabad,Delayed
ORD4,2024-04-05,1466,98.51,COD,Mumbai,Delivered
ORD5,2024-02-04,5426,292.39,COD,Hyderabad,Delivered
ORD6,2024-02-02,4444,202.38,Credit Card,Mumbai,Delayed
ORD7,2024-06-23,4171,128.39,Credit Card,Mumbai,Delivered
ORD8,2024-01-19,3919,91.33,UPI,Delhi,Delivered
ORD9,2024-03-22,1130,222.02,Credit Card,Bangalore,Delivered
ORD10,2024-02-21,2685,80.23,UPI,Hyderabad,Delayed
ORD11,2024-01-07,1769,59.8,Wallet,Bangalore,Delivered
ORD12,2024-02-10,3391,163.65,UPI,Bangalore,Delivered
ORD13,2024-06-27,3433,94.1,UPI,Mumbai,Delivered
ORD14,2024-01-01,2184,192.38,UPI,Mumbai,Delayed
ORD15,2024-05-08,5555,44.2,Wallet,Hyderabad,Delivered
ORD16,2024-01-08,4385,199.93,Credit Card,Hyderabad,Delivered
ORD17,2024-05-08,5117,92.16,UPI,Hyderabad,Delivered
ORD18,2024-04-03,5843,10.07,Credit Card,Mumbai,Delivered
ORD19,2024-05-03,3904,46.81,UPI,Delhi,Delivered
ORD20,2024-05-23,1474,280.75,Credit Card,Hyderabad,Delayed
ORD21,2024-03-27,2082,261.53,UPI,Mumbai,Delivered
ORD22,2024-05-19,3558,77.75,Credit Card,Delhi,Delivered
ORD23,2024-06-14,3047,235.73,COD,Bangalore,Delivered
ORD24,2024-03-11,3747,186.49,Wallet,Mumbai,Delivered
ORD25,2024-05-10,1975,291.56,UPI,Hyderabad,Delivered
ORD26,2024-03-26,2806,118.35,Wallet,Hyderabad,Cancelled
ORD27,2024-04-10,1189,207.62,UPI,Delhi,Delivered
ORD28,2024-06-23,3734,28.43,COD,Delhi,Delivered
ORD29,2024-05-23,4005,124.91,COD,Mumbai,Delivered
ORD30,2024-04-22,5658,289.51,Wallet,Delhi,Delivered
ORD31,2024-04-21,2899,166.3,UPI,Mumbai,Delivered
ORD32,2024-05-04,2267,93.49,Credit Card,Delhi,Delivered
ORD33,2024-06-03,2528,44.88,UPI,Bangalore,Delivered
ORD34,2024-01-16,4202,214.02,Credit Card,Hyderabad,Delivered
ORD35,2024-01-26,4556,197.01,Wallet,Hyderabad,Delivered
ORD36,2024-03-01,4890,118.44,Wallet,Bangalore,Delivered
ORD37,2024-04-13,1646,285.77,COD,Hyderabad,Delayed
ORD38,2024-02-24,3888,16.44,Credit Card,Hyderabad,Delivered
ORD39,2024-05-15,3435,98.08,UPI,Hyderabad,Delayed
ORD40,2024-05-04,1600,277.11,COD,Hyderabad,Delivered
ORD41,2024-04-07,3363,103.07,Wallet,Bangalore,Delivered
ORD42,2024-05-24,3061,83.15,COD,Mumbai,Cancelled
ORD43,2024-01-21,1241,164.92,UPI,Hyderabad,Delivered
ORD44,2024-02-29,3041,248.9,UPI,Bangalore,Delivered
ORD45,2024-05-18,3824,39.91,Wallet,Hyderabad,Delivered
ORD46,2024-02-09,3612,283.48,COD,Bangalore,Delivered
ORD47,2024-05-25,2363,240.57,Credit Card,Bangalore,Delivered
ORD48,2024-05-26,2478,62.56,Credit Card,Mumbai,Delivered
ORD49,2024-01-01,3556,216.48,Credit Card,Delhi,Delivered
ORD50,2024-03-23,1775,121.64,UPI,Mumbai,Delivered
ORD51,2024-06-07,5014,126.67,COD,Mumbai,Delivered
ORD52,2024-02-26,1034,237.15,Credit Card,Hyderabad,Delivered
ORD53,2024-03-31,4152,289.21,COD,Bangalore,Delivered
ORD54,2024-05-30,2955,46.73,Wallet,Delhi,Delayed
ORD55,2024-03-08,2585,131.98,Credit Card,Bangalore,Delivered
ORD56,2024-03-28,4943,149.47,COD,Hyderabad,Delivered
ORD57,2024-06-03,4073,119.13,UPI,Bangalore,Delayed
ORD58,2024-03-31,2021,115.32,Wallet,Hyderabad,Delivered
ORD59,2024-02-17,4461,25.16,Wallet,Mumbai,Delivered
ORD60,2024-02-26,3613,208.81,Wallet,Mumbai,Cancelled
ORD61,2024-06-16,4843,136.5,Wallet,Hyderabad,Delayed
ORD62,2024-05-01,2500,66.49,UPI,Mumbai,Delivered
ORD63,2024-02-23,5798,246.65,UPI,Bangalore,Delivered
ORD64,2024-02-28,1161,242.74,Credit Card,Delhi,Delivered
ORD65,2024-03-04,5297,151.05,UPI,Delhi,Delayed
ORD66,2024-04-05,2981,96.55,UPI,Bangalore,Cancelled
ORD67,2024-06-16,1995,195.05,Wallet,Delhi,Delivered
ORD68,2024-01-05,5911,93.56,UPI,Bangalore,Delivered
ORD69,2024-04-22,4342,78.44,Wallet,Hyderabad,Delayed
ORD70,2024-04-09,5551,221.85,COD,Delhi,Delivered
ORD71,2024-04-22,4798,21.69,COD,Hyderabad,Delivered
ORD72,2024-04-27,2275,37.48,COD,Hyderabad,Delivered
ORD73,2024-01-27,2016,11.97,COD,Bangalore,Delivered
ORD74,2024-02-06,1337,54.35,COD,Delhi,Delayed
ORD75,2024-05-12,1878,30.01,COD,Mumbai,Delayed
ORD76,2024-01-12,2076,298.78,COD,Mumbai,Delivered
ORD77,2024-02-08,5887,93.75,Wallet,Mumbai,Delivered
ORD78,2024-03-16,4993,53.29,Wallet,Mumbai,Delivered
ORD79,2024-01-13,5859,79.89,Wallet,Bangalore,Delayed
ORD80,2024-02-20,1379,281.48,Wallet,Hyderabad,Delivered
ORD81,2024-06-05,1492,160.85,UPI,Delhi,Delivered
ORD82,2024-01-30,3062,115.8,UPI,Bangalore,Delivered
ORD83,2024-01-09,4884,263.28,Credit Card,Mumbai,Delivered
ORD84,2024-01-13,1064,124.55,UPI,Delhi,Delivered
ORD85,2024-03-16,3568,107.15,Wallet,Bangalore,Cancelled
ORD86,2024-01-27,3027,70.11,Wallet,Hyderabad,Delivered
ORD87,2024-06-06,3695,119.56,COD,Mumbai,Delivered
ORD88,2024-04-14,2495,101.84,COD,Delhi,Delivered
ORD89,2024-06-09,1391,206.42,Credit Card,Delhi,Delivered
ORD90,2024-05-11,5514,93.98,UPI,Mumbai,Delivered
ORD91,2024-01-19,5474,177.39,Wallet,Hyderabad,Delivered
ORD92,2024-01-30,4561,29.11,UPI,Mumbai,Delayed
ORD93,2024-04-21,3278,65.47,Credit Card,Hyderabad,Delivered
