ticket_id,order_id,issue_type,created_time,resolved_time,status
TKT0,ORD28,Wrong Item,2024-01-17,2024-01-17 03:00:00,Closed
TKT1,ORD2543,Late Delivery,2024-04-08,2024-04-10 00:00:00,Closed
TKT2,ORD4825,Late Delivery,2024-01-22,2024-01-22 23:00:00,Closed
TKT3,ORD49,Refund,2024-04-23,2024-04-23 06:00:00,Closed
TKT4,ORD3608,Wrong Item,2024-03-04,2024-03-04 19:00:00,Closed
TKT5,ORD9522,Late Delivery,2024-05-25,2024-05-27 04:00:00,Closed
TKT6,ORD5674,Damaged Item,2024-01-13,2024-01-13 08:00:00,Closed
TKT7,ORD103,Wrong Item,2024-04-05,2024-04-07 02:00:00,Closed
TKT8,ORD7969,Late Delivery,2024-01-03,2024-01-05 18:00:00,Closed
TKT9,ORD171,Late Delivery,2024-02-17,2024-02-18 23:00:00,Closed
TKT10,ORD8802,Wrong Item,2024-05-21,2024-05-22 02:00:00,Closed
TKT11,ORD7741,Damaged Item,2024-01-13,2024-01-15 23:00:00,Closed
TKT12,ORD7969,Wrong Item,2024-02-08,2024-02-08 03:00:00,Closed
TKT13,ORD6975,Wrong Item,2024-02-10,2024-02-10 12:00:00,Closed
TKT14,ORD7719,Refund,2024-06-12,2024-06-12 05:00:00,Closed
TKT15,ORD1923,Late Delivery,2024-03-26,2024-03-27 17:00:00,Closed
TKT16,ORD6748,Damaged Item,2024-06-12,2024-06-12 03:00:00,Closed
TKT17,ORD6209,Wrong Item,2024-03-03,2024-03-03 13:00:00,Closed
TKT18,ORD7788,Late Delivery,2024-01-09,2024-01-09 23:00:00,Closed
TKT19,ORD2114,Refund,2024-01-13,2024-01-13 07:00:00,Closed
TKT20,ORD328,Late Delivery,2024-05-01,2024-05-02 16:00:00,Closed
TKT21,ORD3833,Wrong Item,2024-04-28,2024-04-28 18:00:00,Closed
TKT22,ORD9128,Wrong Item,2024-01-12,2024-01-12 04:00:00,Closed
TKT23,ORD7304,Refund,2024-06-16,2024-06-16 04:00:00,Closed
TKT24,ORD3467,Late Delivery,2024-01-07,2024-01-08 03:00:00,Closed
TKT25,ORD9148,Wrong Item,2024-06-27,2024-06-29 15:00:00,Closed
TKT26,ORD2377,Wrong Item,2024-06-01,2024-06-03 16:00:00,Closed
TKT27,ORD1773,Refund,2024-06-03,2024-06-03 20:00:00,Closed
TKT28,ORD9278,Refund,2024-02-25,2024-02-27 02:00:00,Closed
TKT29,ORD2009,Refund,2024-05-31,2024-06-02 11:00:00,Closed
TKT30,ORD762,Refund,2024-02-20,2024-02-20 04:00:00,Closed
TKT31,ORD2474,Damaged Item,2024-05-25,2024-05-25 18:00:00,Closed
TKT32,ORD1466,Wrong Item,2024-06-05,2024-06-07 01:00:00,Closed
TKT33,ORD3964,Refund,2024-03-01,2024-03-02 13:00:00,Closed
TKT34,ORD2107,Wrong Item,2024-04-16,2024-04-18 23:00:00,Closed
TKT35,ORD3066,Refund,2024-06-02,2024-06-02 09:00:00,Closed
TKT36,ORD3955,Damaged Item,2024-06-15,2024-06-17 20:00:00,Closed
TKT37,ORD2622,Refund,2024-02-10,2024-02-10 06:00:00,Closed
TKT38,ORD8766,Refund,2024-05-07,2024-05-09 14:00:00,Closed
TKT39,ORD8801,Late Delivery,2024-04-11,2024-04-12 17:00:00,Closed
TKT40,ORD2334,Damaged Item,2024-06-29,2024-06-29 20:00:00,Closed
TKT41,ORD9292,Damaged Item,2024-03-07,2024-03-07 03:00:00,Closed
TKT42,ORD479,Damaged Item,2024-04-22,2024-04-23 06:00:00,Closed
TKT43,ORD4416,Late Delivery,2024-01-30,2024-01-31 18:00:00,Closed
TKT44,ORD3058,Refund,2024-06-27,2024-06-29 08:00:00,Closed
TKT45,ORD2767,Wrong Item,2024-02-26,2024-02-26 05:00:00,Closed
TKT46,ORD3285,Refund,2024-06-04,2024-06-06 21:00:00,Closed
TKT47,ORD5623,Wrong Item,2024-05-10,2024-05-12 12:00:00,Closed
TKT48,ORD6519,Late Delivery,2024-02-04,2024-02-05 20:00:00,Closed
TKT49,ORD4173,Wrong Item,2024-01-16,2024-01-17 09:00:00,Closed
TKT50,ORD4072,Damaged Item,2024-05-10,2024-05-11 16:00:00,Closed
TKT51,ORD3719,Refund,2024-03-21,2024-03-23 20:00:00,Closed
TKT52,ORD9943,Wrong Item,2024-03-21,2024-03-23 04:00:00,Closed
TKT53,ORD842,Damaged Item,2024-01-25,2024-01-25 15:00:00,Closed
TKT54,ORD9530,Wrong Item,2024-06-10,2024-06-10 09:00:00,Closed
TKT55,ORD7904,Wrong Item,2024-01-13,2024-01-14 06:00:00,Closed
TKT56,ORD9201,Damaged Item,2024-02-26,2024-02-27 03:00:00,Closed
TKT57,ORD3223,Refund,2024-05-01,2024-05-03 17:00:00,Closed
TKT58,ORD8152,Late Delivery,2024-06-12,2024-06-12 08:00:00,Closed
TKT59,ORD5548,Late Delivery,2024-03-08,2024-03-09 12:00:00,Closed
TKT60,ORD8903,Wrong Item,2024-03-04,2024-03-05 18:00:00,Closed
TKT61,ORD4824,Late Delivery,2024-01-12,2024-01-12 08:00:00,Closed
TKT62,ORD270,Refund,2024-01-06,2024-01-08 07:00:00,Closed
TKT63,ORD2681,Refund,2024-06-28,2024-06-29 00:00:00,Closed
TKT64,ORD5760,Refund,2024-02-11,2024-02-13 08:00:00,Closed
TKT65,ORD2559,Wrong Item,2024-03-08,2024-03-09 00:00:00,Closed
TKT66,ORD9870,Late Delivery,2024-01-08,2024-01-08 12:00:00,Closed
TKT67,ORD668,Wrong Item,2024-05-21,2024-05-21 17:00:00,Closed
TKT68,ORD6251,Late Delivery,2024-02-26,2024-02-28 12:00:00,Closed
TKT69,ORD8448,Refund,2024-05-15,2024-05-17 03:00:00,Closed
TKT70,ORD9852,Refund,2024-04-01,2024-04-02 01:00:00,Closed
TKT71,ORD1948,Refund,2024-05-20,2024-05-22 00:00:00,Closed
TKT72,ORD135,Refund,2024-03-21,2024-03-21 21:00:00,Closed
TKT73,ORD3527,Damaged Item,2024-06-08,2024-06-09 08:00:00,Closed
TKT74,ORD821,Late Delivery,2024-04-20,2024-04-22 02:00:00,Closed
TKT75,ORD9429,Late Delivery,2024-01-15,2024-01-16 04:00:00,Closed
TKT76,ORD4892,Wrong Item,2024-01-17,2024-01-19 08:00:00,Closed
TKT77,ORD744,Damaged Item,2024-04-29,2024-05-01 08:00:00,Closed
TKT78,ORD4009,Late Delivery,2024-05-19,2024-05-19 07:00:00,Closed
TKT79,ORD9743,Late Delivery,2024-06-12,2024-06-14 07:00:00,Closed
TKT80,ORD7724,Refund,2024-02-22,2024-02-23 22:00:00,Closed
TKT81,ORD1017,Late Delivery,2024-01-24,2024-01-26 15:00:00,Closed
TKT82,ORD3535,Wrong Item,2024-04-18,2024-04-18 07:00:00,Closed
TKT83,ORD7546,Damaged Item,2024-05-25,2024-05-27 13:00:00,Closed
TKT84,ORD2485,Damaged Item,2024-06-11,2024-06-13 02:00:00,Closed
TKT85,ORD4298,Wrong Item,2024-04-07,2024-04-08 23:00:00,Closed
TKT86,ORD199,Damaged Item,2024-05-26,2024-05-27 17:00:00,Closed
TKT87,ORD6792,Refund,2024-03-25,2024-03-26 21:00:00,Closed
TKT88,ORD4696,Late Delivery,2024-02-12,2024-02-12 12:00:00,Closed
TKT89,ORD6446,Wrong Item,2024-05-27,2024-05-27 07:00:00,Closed
TKT90,ORD6919,Refund,2024-05-22,2024-05-24 15:00:00,Closed
TKT91,ORD5818,Refund,2024-05-08,2024-05-08 02:00:00,Closed
TKT92,ORD1993,Refund,2024-02-29,2024-02-29 21:00:00,Closed
TKT93,ORD233,Late Delivery,2024-03-22,2024-03-22 03:00:00,Closed
TKT94,ORD8553,Refund,2024-06-22,2024-06-22 23:00:00,Closed
TKT95,ORD1740,Refund,2024-01-30,2024-02-01 22:00:00,Closed
TKT96,ORD2738,Late Delivery,2024-05-10,2024-05-10 19:00:00,Closed
TKT97,ORD5472,Late Delivery,2024-04-30,2024-05-01 08:00:00,Closed
TKT98,ORD2575,Damaged Item,2024-04-07,2024-04-08 08:00:00,Closed
TKT99,ORD6684,Refund,2024-06-12,2024-06-14 17:00:00,Closed
TKT100,ORD7998,Late Delivery,2024-03-16,2024-03-17 15:00:00,Closed
TKT101,ORD8832,Damaged Item,2024-04-23,2024-04-23 18:00:00,Closed
TKT102,ORD8586,Damaged Item,2024-02-24,2024-02-26 03:00:00,Closed
TKT103,ORD247,Refund,2024-02-24,2024-02-26 14:00:00,Closed
TKT104,ORD869,Wrong Item,2024-03-16,2024-03-17 18:00:00,Closed
TKT105,ORD7694,Damaged Item,2024-06-02,2024-06-02 19:00:00,Closed
TKT106,ORD4802,Damaged Item,2024-04-03,2024-04-04 12:00:00,Closed
TKT107,ORD9255,Damaged Item,2024-06-10,2024-06-12 05:00:00,Closed
TKT108,ORD3277,Refund,2024-03-01,2024-03-01 23:00:00,Closed
TKT109,ORD7694,Refund,2024-03-16,2024-03-16 07:00:00,Closed
TKT110,ORD881,Wrong Item,2024-06-12,2024-06-13 01:00:00,Closed
TKT111,ORD2915,Late Delivery,2024-01-11,2024-01-12 11:00:00,Closed
TKT112,ORD2118,Damaged Item,2024-06-20,2024-06-22 12:00:00,Closed
TKT113,ORD7229,Wrong Item,2024-04-12,2024-04-14 08:00:00,Closed
TKT114,ORD4270,Late Delivery,2024-01-05,2024-01-07 00:00:00,Closed
TKT115,ORD8020,Refund,2024-01-09,2024-01-11 00:00:00,Closed
TKT116,ORD1302,Late Delivery,2024-02-12,2024-02-12 18:00:00,Closed
TKT117,ORD4799,Late Delivery,2024-06-27,2024-06-29 13:00:00,Closed
TKT118,ORD525,Damaged Item,2024-05-10,2024-05-12 15:00:00,Closed
TKT119,ORD7561,Late Delivery,2024-01-24,2024-01-26 11:00:00,Closed
TKT120,ORD5191,Wrong Item,2024-05-08,2024-05-08 15:00:00,Closed
TKT121,ORD7127,Wrong Item,2024-05-05,2024-05-06 13:00:00,Closed
TKT122,ORD1889,Late Delivery,2024-06-11,2024-06-13 01:00:00,Closed
TKT123,ORD3768,Refund,2024-01-27,2024-01-28 09:00:00,Closed
TKT124,ORD2383,Damaged Item,2024-01-28,2024-01-29 09:00:00,Closed
TKT125,ORD1322,Damaged Item,2024-04-29,2024-05-02 00:00:00,Closed
TKT126,ORD2576,Wrong Item,2024-06-09,2024-06-11 00:00:00,Closed
TKT127,ORD971,Refund,2024-05-06,2024-05-08 17:00:00,Closed
TKT128,ORD6567,Late Delivery,2024-02-03,2024-02-06 00:00:00,Closed
TKT129,ORD7357,Refund,2024-03-03,2024-03-04 01:00:00,Closed
TKT130,ORD5941,Late Delivery,2024-06-10,2024-06-12 19:00:00,Closed
TKT131,ORD5856,Refund,2024-05-11,2024-05-12 04:00:00,Closed
TKT132,ORD9037,Refund,2024-01-01,2024-01-03 17:00:00,Closed
TKT133,ORD98,Refund,2024-06-07,2024-06-07 23:00:00,Closed
TKT134,ORD4935,Refund,2024-04-22,2024-04-24 04:00:00,Closed
TKT135,ORD9656,Refund,2024-04-22,2024-04-22 03:00:00,Closed
TKT136,ORD627,Wrong Item,2024-02-11,2024-02-12 11:00:00,Closed
TKT137,ORD6780,Refund,2024-05-18,2024-05-19 11:00:00,Closed
TKT138,ORD6348,Refund,2024-01-18,2024-01-19 05:00:00,Closed
