order_id,pick_time,pack_time,ship_time,delivery_time,carrier
ORD1,2024-06-17 04:00:00,2024-06-17 06:00:00,2024-06-17 12:00:00,2024-06-20 12:00:00,Ecom Express
ORD2,2024-03-23 06:00:00,2024-03-23 10:00:00,2024-03-23 19:00:00,2024-03-25 19:00:00,Ecom Express
ORD3,2024-04-08 01:00:00,2024-04-08 02:00:00,2024-04-08 09:00:00,2024-04-12 09:00:00,Delhivery
ORD4,2024-04-05 02:00:00,2024-04-05 03:00:00,2024-04-05 07:00:00,2024-04-07 07:00:00,BlueDart
ORD5,2024-02-04 03:00:00,2024-02-04 04:00:00,2024-02-04 07:00:00,2024-02-06 07:00:00,Delhivery
ORD6,2024-02-02 06:00:00,2024-02-02 10:00:00,2024-02-02 12:00:00,2024-02-07 12:00:00,Ecom Express
ORD7,2024-06-23 06:00:00,2024-06-23 08:00:00,2024-06-23 16:00:00,2024-06-26 16:00:00,Delhivery
ORD8,2024-01-19 05:00:00,2024-01-19 09:00:00,2024-01-19 16:00:00,2024-01-22 16:00:00,Delhivery
ORD9,2024-03-22 03:00:00,2024-03-22 05:00:00,2024-03-22 08:00:00,2024-03-23 08:00:00,BlueDart
ORD10,2024-02-21 02:00:00,2024-02-21 04:00:00,2024-02-21 13:00:00,2024-02-28 13:00:00,BlueDart
ORD11,2024-01-07 01:00:00,2024-01-07 04:00:00,2024-01-07 07:00:00,2024-01-10 07:00:00,Delhivery
ORD12,2024-02-10 06:00:00,2024-02-10 10:00:00,2024-02-10 13:00:00,2024-02-11 13:00:00,Ecom Express
ORD13,2024-06-27 02:00:00,2024-06-27 04:00:00,2024-06-27 13:00:00,2024-06-28 13:00:00,Delhivery
ORD14,2024-01-01 02:00:00,2024-01-01 04:00:00,2024-01-01 13:00:00,2024-01-05 13:00:00,Ecom Express
ORD15,2024-05-08 04:00:00,2024-05-08 08:00:00,2024-05-08 11:00:00,2024-05-10 11:00:00,Delhivery
